url,title,category,tags,description,confidence,system,author,version
https://atomicdesign.bradfrost.com/chapter-2/,Atomic Design Methodology,guidelines,"atomic-design,methodology,components,hierarchy,brad-frost",Brad Frost's canonical chapter defining atoms molecules organisms templates and pages as a mental model for interface systems,high,Atomic Design,Brad Frost,
https://bradfrost.com/blog/post/the-many-faces-of-themeable-design-systems/,The Many Faces of Themeable Design Systems,tokens,"design-tokens,theming,multi-brand,token-tiers,dark-mode",Brad Frost's three-tier token architecture for multi-brand theming white-labeling and light/dark modes,high,,Brad Frost,
https://medium.com/eightshapes-llc/naming-tokens-in-design-systems-9e86c7444676,Naming Tokens in Design Systems,tokens,"design-tokens,naming,taxonomy,eightshapes",Nathan Curtis's taxonomy for token names covering base levels modifiers objects and namespaces with examples from Salesforce Spectrum and Shopify,high,EightShapes,Nathan Curtis,
https://medium.com/eightshapes-llc/space-in-design-systems-188bcbae0d62,Space in Design Systems,tokens,"spacing,design-tokens,layout,eightshapes",Nathan Curtis's spatial concepts (inset squish stack inline grid) and nonlinear spacing scales for systematic space,high,EightShapes,Nathan Curtis,
https://medium.com/eightshapes-llc/team-models-for-scaling-a-design-system-2cf9d03be6a0,Team Models for Scaling a Design System,guidelines,"governance,team-models,organization,scaling,eightshapes",Nathan Curtis's solitary centralized and federated team models for design system governance,high,EightShapes,Nathan Curtis,
https://medium.com/eightshapes-llc/versioning-design-systems-48cceb5ace4d,Versioning Design Systems,guidelines,"versioning,semver,releases,deprecation,eightshapes",Nathan Curtis on semantic versioning library-vs-component version scope deprecation timelines and keeping design and code versions aligned,high,EightShapes,Nathan Curtis,
https://medium.com/eightshapes-llc/releasing-design-systems-57fca91a23f6,Releasing Design Systems,guidelines,"releases,process,distribution,eightshapes",Nathan Curtis on the outputs a design system releases (code assets docs) and how to deliver interconnected releases to adopters,high,EightShapes,Nathan Curtis,
https://ui.shadcn.com/docs,shadcn/ui Documentation,components,"react,components,tailwind,open-code,ai-ready",Official docs for shadcn/ui's open-code component distribution model with composition CLI distribution and AI-ready principles,high,shadcn/ui,shadcn,
https://www.radix-ui.com/primitives/docs/overview/introduction,Radix Primitives Introduction,components,"react,headless,accessibility,primitives,unstyled",Official introduction to Radix Primitives — accessible unstyled low-level components used as a design system foundation,high,Radix UI,WorkOS,
https://react-aria.adobe.com/,React Aria,components,"react,accessibility,headless,hooks,aria",Adobe's headless accessible component library implementing ARIA Authoring Practices with 50+ style-free components and hooks,high,React Aria,Adobe,
https://tailwindcss.com/docs/theme,Tailwind CSS Theme Variables,tokens,"tailwind,design-tokens,css-variables,theming",Official Tailwind v4 docs on the @theme directive mapping design tokens to CSS variables and generated utilities,high,Tailwind CSS,Tailwind Labs,4
https://developers.figma.com/docs/code-connect/,Figma Code Connect Documentation,tools,"figma,code-connect,dev-mode,design-to-code",Official Figma developer docs for connecting design system components in code to Figma components via CLI or UI,high,Figma,Figma,
https://developers.figma.com/docs/figma-mcp-server/,Figma MCP Server Documentation,tools,"figma,mcp,ai,design-to-code,agents",Official docs for the Figma MCP server enabling AI agents to read designs generate code and write to canvas using design system context,high,Figma,Figma,
https://www.w3.org/TR/wcag-3.0/,W3C Accessibility Guidelines (WCAG) 3.0 Working Draft,accessibility,"wcag,accessibility,standards,w3c,draft",Official W3C WCAG 3.0 working draft outlining the next-generation accessibility guidelines model,high,WCAG,W3C,3.0-draft
https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_containment/Container_queries,CSS Container Queries,patterns,"css,container-queries,responsive,components",MDN guide to container queries and container query units for component-driven responsive design,high,MDN,Mozilla,
https://developer.mozilla.org/en-US/docs/Web/CSS/:has,CSS :has() Pseudo-class,patterns,"css,selectors,has,modern-css",MDN reference for the :has() relational selector including use cases limitations and performance guidance,high,MDN,Mozilla,
https://css-tricks.com/css-cascade-layers/,CSS Cascade Layers Guide,patterns,"css,cascade-layers,architecture,specificity",Miriam Suzanne's complete guide to @layer for controlling specificity — key for layering design system styles,high,CSS-Tricks,Miriam Suzanne,
https://web.dev/articles/prefers-color-scheme,prefers-color-scheme: Dark Mode Support,patterns,"dark-mode,color-scheme,css,theming",web.dev guide to implementing dark mode with prefers-color-scheme and dark theme best practices,high,web.dev,Thomas Steiner,
